T 64/16 E:6.55472e+11, T:256896832, Cost:1.68389e+20 Ubuf/Buf/Bus/Mac:5.58395e+10/1.88202e+11/0/9.62255e+10 NoC(hops=29298073600, DRAM acc=2518929408) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 311360000
		encoder2_feedfwd1 4 (H:4,K:4,B:4,W:1) util:100/100 E:6.04959e+08, T:32768, Cost:1.98233e+13 Ubuf/Buf/Bus/Mac:4.41855e+07/4.65339e+08/0/3.86547e+07 NoC(hops=9437184, DRAM acc=65536) Buffer(max=75776, avg=75776) Buffer(max=262144, avg=262144) Buffer(max=65536, avg=65536) 1048576/1048576/4194304 Max NoC: 73728
		encoder2_feedfwd2 4 (H:8,K:2,B:4,W:1) util:100/100 E:6.6439e+08, T:32768, Cost:2.17707e+13 Ubuf/Buf/Bus/Mac:6.68948e+07/4.93252e+08/0/3.86547e+07 NoC(hops=11010048, DRAM acc=65536) Buffer(max=141312, avg=141312) Buffer(max=524288, avg=524288) Buffer(max=131072, avg=131072) 4194304/1048576/1048576 Max NoC: 126976
		encoder2_elt2 4 (H:8,K:2,B:4,W:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		encoder3_attn_k_proj 4 (H:8,K:2,B:4,W:1) util:100/100 E:1.51754e+08, T:131072, Cost:1.98906e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=6946816, DRAM acc=1048576) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		encoder3_attn_v_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.55581e+08, T:131072, Cost:2.03923e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1064960) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		encoder3_attn_q_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:5.67002e+07, T:131072, Cost:7.43181e+12 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=1032192, DRAM acc=16384) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 14336
		encoder3_attn_semi_attn 4 (K:16,B:4,W:1,H:1) util:100/100 E:7.00147e+08, T:393216, Cost:2.75309e+14 Ubuf/Buf/Bus/Mac:9.53358e+07/0/0/1.40606e+08 NoC(hops=60424192, DRAM acc=2097152) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 3145728/0/1048576 Max NoC: 688128
		encoder3_elt1 4 (K:16,B:4,W:1,H:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		encoder3_feedfwd1 4 (H:4,K:4,B:4,W:1) util:100/100 E:6.04959e+08, T:32768, Cost:1.98233e+13 Ubuf/Buf/Bus/Mac:4.41855e+07/4.65339e+08/0/3.86547e+07 NoC(hops=9437184, DRAM acc=65536) Buffer(max=75776, avg=75776) Buffer(max=262144, avg=262144) Buffer(max=65536, avg=65536) 1048576/1048576/4194304 Max NoC: 73728
		encoder3_feedfwd2 4 (H:8,K:2,B:4,W:1) util:100/100 E:6.6439e+08, T:32768, Cost:2.17707e+13 Ubuf/Buf/Bus/Mac:6.68948e+07/4.93252e+08/0/3.86547e+07 NoC(hops=11010048, DRAM acc=65536) Buffer(max=141312, avg=141312) Buffer(max=524288, avg=524288) Buffer(max=131072, avg=131072) 4194304/1048576/1048576 Max NoC: 126976
		encoder3_elt2 4 (H:8,K:2,B:4,W:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		encoder4_attn_k_proj 4 (H:8,K:2,B:4,W:1) util:100/100 E:1.51754e+08, T:131072, Cost:1.98906e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=6946816, DRAM acc=1048576) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
	T 4/1 E:2.63012e+09, T:917504, Cost:2.41314e+15 Ubuf/Buf/Bus/Mac:2.25683e+08/9.58591e+08/0/3.58889e+08 NoC(hops=102465536, DRAM acc=8552448) Buffer(max=993280, avg=993280) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 1095680
		encoder4_attn_q_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.55581e+08, T:131072, Cost:2.03923e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1064960) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		encoder4_attn_v_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:5.67002e+07, T:131072, Cost:7.43181e+12 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=1032192, DRAM acc=16384) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 14336
		encoder4_attn_semi_attn 4 (K:16,B:4,W:1,H:1) util:100/100 E:5.9078e+08, T:393216, Cost:2.32304e+14 Ubuf/Buf/Bus/Mac:9.53358e+07/0/0/1.40606e+08 NoC(hops=40894464, DRAM acc=2097152) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 3145728/0/1048576 Max NoC: 458752
		encoder4_elt1 4 (K:16,B:4,W:1,H:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		encoder4_feedfwd1 4 (H:4,K:4,B:4,W:1) util:100/100 E:6.04959e+08, T:32768, Cost:1.98233e+13 Ubuf/Buf/Bus/Mac:4.41855e+07/4.65339e+08/0/3.86547e+07 NoC(hops=9437184, DRAM acc=65536) Buffer(max=75776, avg=75776) Buffer(max=262144, avg=262144) Buffer(max=65536, avg=65536) 1048576/1048576/4194304 Max NoC: 73728
		encoder4_feedfwd2 4 (H:8,K:2,B:4,W:1) util:100/100 E:6.6439e+08, T:32768, Cost:2.17707e+13 Ubuf/Buf/Bus/Mac:6.68948e+07/4.93252e+08/0/3.86547e+07 NoC(hops=11010048, DRAM acc=65536) Buffer(max=141312, avg=141312) Buffer(max=524288, avg=524288) Buffer(max=131072, avg=131072) 4194304/1048576/1048576 Max NoC: 126976
		encoder4_elt2 4 (H:8,K:2,B:4,W:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		encoder5_attn_v_proj 4 (H:8,K:2,B:4,W:1) util:100/100 E:1.51754e+08, T:131072, Cost:1.98906e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=6946816, DRAM acc=1048576) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
	T 4/1 E:7.63067e+09, T:3375104, Cost:2.57543e+16 Ubuf/Buf/Bus/Mac:6.70507e+08/1.91718e+09/0/1.23379e+09 NoC(hops=350191616, DRAM acc=30801920) Buffer(max=993280, avg=993280) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 3727360
		encoder5_attn_q_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.55581e+08, T:131072, Cost:2.03923e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1064960) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		encoder5_attn_k_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:5.67002e+07, T:131072, Cost:7.43181e+12 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=1032192, DRAM acc=16384) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 14336
		encoder5_attn_semi_attn 4 (K:16,B:4,W:1,H:1) util:100/100 E:5.9078e+08, T:393216, Cost:2.32304e+14 Ubuf/Buf/Bus/Mac:9.53358e+07/0/0/1.40606e+08 NoC(hops=40894464, DRAM acc=2097152) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 3145728/0/1048576 Max NoC: 458752
		encoder5_elt1 4 (K:16,B:4,W:1,H:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		encoder5_feedfwd1 4 (H:4,K:4,B:4,W:1) util:100/100 E:6.04959e+08, T:32768, Cost:1.98233e+13 Ubuf/Buf/Bus/Mac:4.41855e+07/4.65339e+08/0/3.86547e+07 NoC(hops=9437184, DRAM acc=65536) Buffer(max=75776, avg=75776) Buffer(max=262144, avg=262144) Buffer(max=65536, avg=65536) 1048576/1048576/4194304 Max NoC: 73728
		encoder5_feedfwd2 4 (H:8,K:2,B:4,W:1) util:100/100 E:6.6439e+08, T:32768, Cost:2.17707e+13 Ubuf/Buf/Bus/Mac:6.68948e+07/4.93252e+08/0/3.86547e+07 NoC(hops=11010048, DRAM acc=65536) Buffer(max=141312, avg=141312) Buffer(max=524288, avg=524288) Buffer(max=131072, avg=131072) 4194304/1048576/1048576 Max NoC: 126976
		encoder5_elt2 4 (H:8,K:2,B:4,W:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		encoder6_attn_q_proj 4 (H:8,K:2,B:4,W:1) util:100/100 E:1.51754e+08, T:131072, Cost:1.98906e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=6946816, DRAM acc=1048576) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		encoder6_attn_v_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.55581e+08, T:131072, Cost:2.03923e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1064960) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		encoder6_attn_k_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:5.67002e+07, T:131072, Cost:7.43181e+12 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=1032192, DRAM acc=16384) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 14336
		encoder6_attn_semi_attn 4 (K:16,B:4,W:1,H:1) util:100/100 E:5.9078e+08, T:393216, Cost:2.32304e+14 Ubuf/Buf/Bus/Mac:9.53358e+07/0/0/1.40606e+08 NoC(hops=40894464, DRAM acc=2097152) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 3145728/0/1048576 Max NoC: 458752
		encoder6_elt1 4 (K:16,B:4,W:1,H:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		encoder6_feedfwd1 4 (H:4,K:4,B:4,W:1) util:100/100 E:6.04959e+08, T:32768, Cost:1.98233e+13 Ubuf/Buf/Bus/Mac:4.41855e+07/4.65339e+08/0/3.86547e+07 NoC(hops=9437184, DRAM acc=65536) Buffer(max=75776, avg=75776) Buffer(max=262144, avg=262144) Buffer(max=65536, avg=65536) 1048576/1048576/4194304 Max NoC: 73728
		encoder6_feedfwd2 4 (H:8,K:2,B:4,W:1) util:100/100 E:6.6439e+08, T:32768, Cost:2.17707e+13 Ubuf/Buf/Bus/Mac:6.68948e+07/4.93252e+08/0/3.86547e+07 NoC(hops=11010048, DRAM acc=65536) Buffer(max=141312, avg=141312) Buffer(max=524288, avg=524288) Buffer(max=131072, avg=131072) 4194304/1048576/1048576 Max NoC: 126976
