T 64/64 E:1.29412e+12, T:110686016, Cost:1.43241e+20 Ubuf/Buf/Bus/Mac:1.47341e+11/4.31223e+11/0/3.21987e+10 NoC(hops=56128624640, DRAM acc=6150672384) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 482848896
		encoder3_K1 1 (H:64,W:1,B:1,K:1) util:100/100 E:1.0466e+07, T:256, Cost:2.67929e+09 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=359936, DRAM acc=512) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 4128
		encoder3_Kt1 1 (K:64,W:1,H:1,B:1) util:100/100 E:3.18876e+06, T:512, Cost:1.63264e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=200704, DRAM acc=32768) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 4096
		encoder3_Q 1 (H:32,K:2,W:1,B:1) util:100/100 E:1.0203e+08, T:8256, Cost:8.42358e+11 Ubuf/Buf/Bus/Mac:1.13855e+07/3.31635e+07/0/2.41592e+06 NoC(hops=4171776, DRAM acc=528384) Buffer(max=18432, avg=18432) Buffer(max=131072, avg=131072) Buffer(max=8192, avg=8192) 262144/262144/262144 Max NoC: 50176
		encoder3_K0 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.33512e+07, T:4104, Cost:1.36873e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1637888, DRAM acc=262656) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14368
		encoder3_Kt0 1 (K:64,W:1,H:1,B:1) util:100/100 E:3.18876e+06, T:512, Cost:1.63264e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=200704, DRAM acc=32768) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 4096
		encoder3_K4 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
		encoder3_K5 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
		encoder3_K2 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.33512e+07, T:4104, Cost:1.36873e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1637888, DRAM acc=262656) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14368
		encoder3_Kt2 1 (K:64,W:1,H:1,B:1) util:100/100 E:3.18876e+06, T:512, Cost:1.63264e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=200704, DRAM acc=32768) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 4096
		encoder3_K3 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.33512e+07, T:4104, Cost:1.36873e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1637888, DRAM acc=262656) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14368
		encoder3_Kt3 1 (K:64,W:1,H:1,B:1) util:100/100 E:3.18876e+06, T:512, Cost:1.63264e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=200704, DRAM acc=32768) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 4096
		encoder3_Kt5 1 (K:8,H:8,W:1,B:1) util:100/100 E:6.27878e+06, T:1024, Cost:6.42947e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=401408, DRAM acc=65536) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 5120
		encoder3_K6 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.33512e+07, T:4104, Cost:1.36873e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1637888, DRAM acc=262656) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14368
